Task for: 20
Total number of subfolders detected: 1294 in parent folder: /nfs/ssd8/data/laion400m/laion400m-data-20-img/i20
First subfolder: /nfs/ssd8/data/laion400m/laion400m-data-20-img/i20/01184/
Take number of dataset folders as output partition for multiple dataset folders: 1294
--------------Starting the worker-------------
Total number of tasks: 1294
Total number of partitions: 1294
Total number of datasets: 1294
------------------------------
Starting work on task 0
warming up with batch size 1024 on cuda
done warming up in 15.185197353363037s
------------------------------
Starting work on task 1
------------------------------
Starting work on task 2

 sample_per_sec 15 ; sample_count 1024 
 sample_per_sec 14 ; sample_count 1024 
 sample_per_sec 27 ; sample_count 2048 
 sample_per_sec 25 ; sample_count 2048 
 sample_per_sec 59 ; sample_count 5120 
 sample_per_sec 90 ; sample_count 8192 
 sample_per_sec 99 ; sample_count 9522 
 sample_per_sec 94 ; sample_count 9522 
 sample_per_sec 89 ; sample_count 9522 
 sample_per_sec 85 ; sample_count 9522 
 sample_per_sec 82 ; sample_count 9522 
 sample_per_sec 78 ; sample_count 9522 
 sample_per_sec 75 ; sample_count 9522 
 sample_per_sec 72 ; sample_count 9522 
 sample_per_sec 70 ; sample_count 9522 
 sample_per_sec 67 ; sample_count 9522 
 sample_per_sec 65 ; sample_count 9522 
 sample_per_sec 22 ; sample_count 28506 
 sample_per_sec 22 ; sample_count 28506 
 sample_per_sec 22 ; sample_count 28506 
 sample_per_sec 22 ; sample_count 28506 
 sample_per_sec 22 ; sample_count 28506 
 sample_per_sec 21 ; sample_count 28506 
 sample_per_sec 21 ; sample_count 28506 
 sample_per_sec 21 ; sample_count 28506 
 sample_per_sec 21 ; sample_count 28506 
 sample_per_sec 21 ; sample_count 28506 
 sample_per_sec 21 ; sample_count 28506 
 sample_per_sec 21 ; sample_count 28506 
 sample_per_sec 21 ; sample_count 28506 
 sample_per_sec 21 ; sample_count 28506 
 sample_per_sec 21 ; sample_count 28506 
 sample_per_sec 21 ; sample_count 28506 
 sample_per_sec 21 ; sample_count 28506 
 sample_per_sec 20 ; sample_count 28506 
 sample_per_sec 20 ; sample_count 28506 
 sample_per_sec 20 ; sample_count 28506 
 sample_per_sec 20 ; sample_count 28506 
 sample_per_sec 20 ; sample_count 28506 
 sample_per_sec 20 ; sample_count 28506 
 sample_per_sec 20 ; sample_count 28506 
 sample_per_sec 20 ; sample_count 28506 
 sample_per_sec 20 ; sample_count 28506 
 sample_per_sec 20 ; sample_count 28506 
 sample_per_sec 20 ; sample_count 28506 
 sample_per_sec 20 ; sample_count 28506 
 sample_per_sec 20 ; sample_count 28506 
 sample_per_sec 20 ; sample_count 28506 
 sample_per_sec 19 ; sample_count 28506 
 sample_per_sec 19 ; sample_count 28506 
 sample_per_sec 19 ; sample_count 28506 
 sample_per_sec 19 ; sample_count 28506 
 sample_per_sec 19 ; sample_count 28506 
 sample_per_sec 19 ; sample_count 28506 
 sample_per_sec 19 ; sample_count 28506 
 sample_per_sec 19 ; sample_count 28506 
 sample_per_sec 19 ; sample_count 28506 
 sample_per_sec 19 ; sample_count 28506 
 sample_per_sec 19 ; sample_count 28506 
 sample_per_sec 19 ; sample_count 28506 
 sample_per_sec 19 ; sample_count 28506 
 sample_per_sec 19 ; sample_count 28506 
 sample_per_sec 19 ; sample_count 28506 
 sample_per_sec 18 ; sample_count 28506 
 sample_per_sec 18 ; sample_count 28506 
 sample_per_sec 18 ; sample_count 28506 
 sample_per_sec 18 ; sample_count 28506 
 sample_per_sec 18 ; sample_count 28506 
 sample_per_sec 18 ; sample_count 28506 
 sample_per_sec 18 ; sample_count 28506 
 sample_per_sec 18 ; sample_count 28506 
 sample_per_sec 18 ; sample_count 28506 
 sample_per_sec 18 ; sample_count 28506 
 sample_per_sec 18 ; sample_count 28506 
 sample_per_sec 18 ; sample_count 28506 
 sample_per_sec 18 ; sample_count 28506 
 sample_per_sec 18 ; sample_count 28506 
 sample_per_sec 18 ; sample_count 28506 
 sample_per_sec 18 ; sample_count 28506 
 sample_per_sec 17 ; sample_count 28506 
 sample_per_sec 17 ; sample_count 28506 
 sample_per_sec 17 ; sample_count 28506 
 sample_per_sec 17 ; sample_count 28506 
 sample_per_sec 17 ; sample_count 28506 
 sample_per_sec 17 ; sample_count 28506 
 sample_per_sec 17 ; sample_count 28506 
 sample_per_sec 17 ; sample_count 28506 
 sample_per_sec 17 ; sample_count 28506 
 sample_per_sec 17 ; sample_count 28506 
 sample_per_sec 17 ; sample_count 28506 
 sample_per_sec 17 ; sample_count 28506 
 sample_per_sec 17 ; sample_count 28506 
 sample_per_sec 17 ; sample_count 28506 
 sample_per_sec 17 ; sample_count 28506 
 sample_per_sec 17 ; sample_count 28506 
 sample_per_sec 17 ; sample_count 28506 
 sample_per_sec 17 ; sample_count 28506 
 sample_per_sec 17 ; sample_count 29530 
 sample_per_sec 17 ; sample_count 29530 
 sample_per_sec 19 ; sample_count 32602 
 sample_per_sec 21 ; sample_count 35674 
 sample_per_sec 22 ; sample_count 37722 
 sample_per_sec 22 ; sample_count 38014 
 sample_per_sec 22 ; sample_count 38014 
 sample_per_sec 22 ; sample_count 38014 
 sample_per_sec 22 ; sample_count 38014 
 sample_per_sec 22 ; sample_count 38014 
 sample_per_sec 22 ; sample_count 38014 
 sample_per_sec 22 ; sample_count 39038 
 sample_per_sec 24 ; sample_count 42110 
 sample_per_sec 25 ; sample_count 45182 
 sample_per_sec 27 ; sample_count 47543 
 sample_per_sec 27 ; sample_count 47543 
 sample_per_sec 27 ; sample_count 47543 
 sample_per_sec 27 ; sample_count 47543 
 sample_per_sec 26 ; sample_count 47543 
 sample_per_sec 26 ; sample_count 47543 
 sample_per_sec 27 ; sample_count 48567 
 sample_per_sec 29 ; sample_count 51639 
 sample_per_sec 30 ; sample_count 53687 
 sample_per_sec 31 ; sample_count 55735 
 sample_per_sec 31 ; sample_count 57078 
 sample_per_sec 31 ; sample_count 57078 
 sample_per_sec 31 ; sample_count 57078 
 sample_per_sec 31 ; sample_count 57078 
 sample_per_sec 31 ; sample_count 57078 
 sample_per_sec 31 ; sample_count 57078 
 sample_per_sec 31 ; sample_count 58102 
 sample_per_sec 31 ; sample_count 58102 
 sample_per_sec 33 ; sample_count 61174 
 sample_per_sec 34 ; sample_count 63222 
 sample_per_sec 36 ; sample_count 66604 
 sample_per_sec 35 ; sample_count 66604 
 sample_per_sec 35 ; sample_count 66604 
 sample_per_sec 35 ; sample_count 66604 
 sample_per_sec 35 ; sample_count 66604 
 sample_per_sec 35 ; sample_count 66604 
 sample_per_sec 35 ; sample_count 66604 
 sample_per_sec 35 ; sample_count 66604 
 sample_per_sec 35 ; sample_count 67628 
 sample_per_sec 37 ; sample_count 70700 
 sample_per_sec 38 ; sample_count 73772 
 sample_per_sec 39 ; sample_count 75820 
 sample_per_sec 39 ; sample_count 76136 
 sample_per_sec 39 ; sample_count 76136 
 sample_per_sec 39 ; sample_count 76136 
 sample_per_sec 39 ; sample_count 76136 
 sample_per_sec 39 ; sample_count 76136 
 sample_per_sec 39 ; sample_count 76136 
 sample_per_sec 39 ; sample_count 77160 
 sample_per_sec 41 ; sample_count 80232 
 sample_per_sec 42 ; sample_count 83304 
 sample_per_sec 42 ; sample_count 83304 
 sample_per_sec 43 ; sample_count 85683 
 sample_per_sec 43 ; sample_count 85683 
 sample_per_sec 43 ; sample_count 85683 
 sample_per_sec 43 ; sample_count 85683 
 sample_per_sec 43 ; sample_count 85683 
 sample_per_sec 43 ; sample_count 85683 
 sample_per_sec 43 ; sample_count 86707 
 sample_per_sec 45 ; sample_count 89779 
 sample_per_sec 44 ; sample_count 89779 
 sample_per_sec 45 ; sample_count 91827 
 sample_per_sec 47 ; sample_count 95189 
 sample_per_sec 47 ; sample_count 95189 
 sample_per_sec 47 ; sample_count 95189 
 sample_per_sec 47 ; sample_count 95189 
 sample_per_sec 46 ; sample_count 95189 
 sample_per_sec 46 ; sample_count 95189 
 sample_per_sec 46 ; sample_count 95189 
 sample_per_sec 47 ; sample_count 96213 
 sample_per_sec 48 ; sample_count 98261 
 sample_per_sec 49 ; sample_count 101333 
 sample_per_sec 50 ; sample_count 104405 
 sample_per_sec 50 ; sample_count 104708 
 sample_per_sec 50 ; sample_count 104708 
 sample_per_sec 50 ; sample_count 104708 
 ------------------------------
Starting work on task 12
------------------------------
Starting work on task 13
------------------------------
Starting work on task 14
------------------------------
Starting work on task 15
------------------------------
Starting work on task 16
------------------------------
Starting work on task 17
------------------------------
Starting work on task 18
------------------------------
Starting work on task 19
sample_per_sec 50 ; sample_count 104708 
 sample_per_sec 50 ; sample_count 104708 
 sample_per_sec 50 ; sample_count 104708 
 sample_per_sec 50 ; sample_count 105732 
 sample_per_sec 50 ; sample_count 105732 
 sample_per_sec 51 ; sample_count 107780 
 sample_per_sec 52 ; sample_count 109828 
 sample_per_sec 52 ; sample_count 111876 
 sample_per_sec 53 ; sample_count 114237 
 sample_per_sec 53 ; sample_count 114237 
 sample_per_sec 53 ; sample_count 114237 
 sample_per_sec 53 ; sample_count 114237 
 sample_per_sec 53 ; sample_count 114237 
 sample_per_sec 53 ; sample_count 114237 
 sample_per_sec 53 ; sample_count 114237 
 sample_per_sec 53 ; sample_count 114237 
 sample_per_sec 52 ; sample_count 114237 
 sample_per_sec 52 ; sample_count 114237 
 sample_per_sec 52 ; sample_count 114237 
 sample_per_sec 52 ; sample_count 114237 
 sample_per_sec 52 ; sample_count 114237 
 sample_per_sec 52 ; sample_count 114237 
 sample_per_sec 52 ; sample_count 114237 
 sample_per_sec 52 ; sample_count 114237 
 sample_per_sec 52 ; sample_count 114237 
 sample_per_sec 51 ; sample_count 114237 
 sample_per_sec 51 ; sample_count 114237 
 sample_per_sec 51 ; sample_count 114237 
 sample_per_sec 51 ; sample_count 114237 
 sample_per_sec 51 ; sample_count 114237 
 sample_per_sec 51 ; sample_count 114237 
 sample_per_sec 51 ; sample_count 114237 
 sample_per_sec 51 ; sample_count 114237 
 sample_per_sec 50 ; sample_count 114237 
 sample_per_sec 50 ; sample_count 114237 
 sample_per_sec 50 ; sample_count 114237 
 sample_per_sec 50 ; sample_count 114237 
 sample_per_sec 50 ; sample_count 114237 
 sample_per_sec 50 ; sample_count 114237 
 sample_per_sec 50 ; sample_count 114237 
 sample_per_sec 50 ; sample_count 114237 
 sample_per_sec 50 ; sample_count 114237 
 sample_per_sec 49 ; sample_count 114237 
 sample_per_sec 49 ; sample_count 114237 
 sample_per_sec 49 ; sample_count 114237 
 sample_per_sec 49 ; sample_count 114237 
 sample_per_sec 49 ; sample_count 114237 
 sample_per_sec 49 ; sample_count 114237 
 sample_per_sec 49 ; sample_count 114237 
 sample_per_sec 49 ; sample_count 114237 
 sample_per_sec 49 ; sample_count 114237 
 sample_per_sec 48 ; sample_count 114237 
 sample_per_sec 48 ; sample_count 114237 
 sample_per_sec 48 ; sample_count 114237 
 sample_per_sec 48 ; sample_count 114237 
 sample_per_sec 48 ; sample_count 114237 
 sample_per_sec 48 ; sample_count 114237 
 sample_per_sec 48 ; sample_count 114237 
 sample_per_sec 48 ; sample_count 114237 
 sample_per_sec 48 ; sample_count 114237 
 sample_per_sec 48 ; sample_count 114237 
 sample_per_sec 47 ; sample_count 114237 
 sample_per_sec 47 ; sample_count 114237 
 sample_per_sec 47 ; sample_count 114237 
 sample_per_sec 47 ; sample_count 114237 
 sample_per_sec 47 ; sample_count 114237 
 sample_per_sec 47 ; sample_count 114237 
 sample_per_sec 47 ; sample_count 114237 
 sample_per_sec 47 ; sample_count 114237 
 sample_per_sec 47 ; sample_count 114237 
 sample_per_sec 47 ; sample_count 114237 
 sample_per_sec 46 ; sample_count 114237 
 sample_per_sec 46 ; sample_count 114237 
 sample_per_sec 46 ; sample_count 114237 
 sample_per_sec 46 ; sample_count 114237 
 sample_per_sec 46 ; sample_count 115261 
 sample_per_sec 48 ; sample_count 118333 
 sample_per_sec 49 ; sample_count 121405 
 sample_per_sec 50 ; sample_count 123453 
 sample_per_sec 50 ; sample_count 123761 
 sample_per_sec 49 ; sample_count 123761 
 sample_per_sec 49 ; sample_count 123761 
 sample_per_sec 49 ; sample_count 123761 
 sample_per_sec 49 ; sample_count 123761 
 sample_per_sec 49 ; sample_count 123761 
 sample_per_sec 49 ; sample_count 124785 
 sample_per_sec 50 ; sample_count 127857 
 sample_per_sec 50 ; sample_count 127857 
 sample_per_sec 52 ; sample_count 130929 
 sample_per_sec 52 ; sample_count 133284 
 sample_per_sec 52 ; sample_count 133284 
 sample_per_sec 52 ; sample_count 133284 
 sample_per_sec 52 ; sample_count 133284 
 sample_per_sec 52 ; sample_count 133284 
 sample_per_sec 52 ; sample_count 133284 
 sample_per_sec 52 ; sample_count 133284 
 sample_per_sec 52 ; sample_count 133284 
 sample_per_sec 52 ; sample_count 133284 
 sample_per_sec 51 ; sample_count 133284 
 sample_per_sec 51 ; sample_count 133284 
 sample_per_sec 51 ; sample_count 133284 
 sample_per_sec 51 ; sample_count 133284 
 sample_per_sec 51 ; sample_count 133284 
 sample_per_sec 51 ; sample_count 133284 
 sample_per_sec 51 ; sample_count 133284 
 sample_per_sec 51 ; sample_count 133284 
 sample_per_sec 51 ; sample_count 133284 
 sample_per_sec 51 ; sample_count 133284 
 sample_per_sec 50 ; sample_count 133284 
 sample_per_sec 50 ; sample_count 133284 
 sample_per_sec 50 ; sample_count 133284 
 sample_per_sec 50 ; sample_count 133284 
 sample_per_sec 50 ; sample_count 133284 
 sample_per_sec 50 ; sample_count 133284 
 sample_per_sec 50 ; sample_count 133284 
 sample_per_sec 50 ; sample_count 133284 
 sample_per_sec 50 ; sample_count 133284 
 sample_per_sec 50 ; sample_count 133284 
 sample_per_sec 49 ; sample_count 133284 
 sample_per_sec 49 ; sample_count 133284 
 sample_per_sec 49 ; sample_count 133284 
 sample_per_sec 49 ; sample_count 133284 
 sample_per_sec 49 ; sample_count 133284 
 sample_per_sec 49 ; sample_count 133284 
 sample_per_sec 49 ; sample_count 133284 
 sample_per_sec 49 ; sample_count 134308 
 sample_per_sec 49 ; sample_count 134308 
 sample_per_sec 50 ; sample_count 137380 
 sample_per_sec 51 ; sample_count 140452 
 sample_per_sec 52 ; sample_count 142783 
 sample_per_sec 52 ; sample_count 142783 
 sample_per_sec 52 ; sample_count 142783 
 sample_per_sec 52 ; sample_count 142783 
 sample_per_sec 52 ; sample_count 142783 
 sample_per_sec 51 ; sample_count 142783 
 sample_per_sec 51 ; sample_count 142783 
 sample_per_sec 52 ; sample_count 143807 
 sample_per_sec 53 ; sample_count 146879 
 sample_per_sec 54 ; sample_count 149951 
 sample_per_sec 54 ; sample_count 149951 
 sample_per_sec 54 ; sample_count 152341 
 sample_per_sec 54 ; sample_count 152341 
 sample_per_sec 54 ; sample_count 152341 
 sample_per_sec 54 ; sample_count 152341 
 sample_per_sec 54 ; sample_count 152341 
 sample_per_sec 54 ; sample_count 152341 
 sample_per_sec 54 ; sample_count 153365 
 sample_per_sec 54 ; sample_count 153365 
 sample_per_sec 55 ; sample_count 156437 
 sample_per_sec 56 ; sample_count 159509 
 sample_per_sec 57 ; sample_count 161847 
 sample_per_sec 57 ; sample_count 161847 
 sample_per_sec 57 ; sample_count 161847 
 sample_per_sec 56 ; sample_count 161847 
 sample_per_sec 56 ; sample_count 161847 
 sample_per_sec 56 ; sample_count 161847 
 sample_per_sec 56 ; sample_count 162871 
 sample_per_sec 57 ; sample_count 165943 
 sample_per_sec 58 ; sample_count 167991 
 sample_per_sec 59 ; sample_count 171063 
 sample_per_sec 59 ; sample_count 171401 
 sample_per_sec 59 ; sample_count 171401 
 sample_per_sec 59 ; sample_count 171401 
 sample_per_sec 59 ; sample_count 171401 
 sample_per_sec 59 ; sample_count 171401 
 sample_per_sec 59 ; sample_count 171401 
 sample_per_sec 59 ; sample_count 172425 
 sample_per_sec 59 ; sample_count 172425 
 sample_per_sec 60 ; sample_count 175497 
 sample_per_sec 61 ; sample_count 178569 
 sample_per_sec 61 ; sample_count 180880 
 sample_per_sec 61 ; sample_count 180880 
 sample_per_sec 61 ; sample_count 180880 
 sample_per_sec 61 ; sample_count 180880 
 sample_per_sec 61 ; sample_count 180880 
 sample_per_sec 61 ; sample_count 180880 
 sample_per_sec 61 ; sample_count 180880 
 sample_per_sec 61 ; sample_count 180880 
 sample_per_sec 60 ; sample_count 180880 
 sample_per_sec 60 ; sample_count 180880 
 sample_per_sec 60 ; sample_count 180880 
 sample_per_sec 60 ; sample_count 180880 
 sample_per_sec 60 ; sample_count 180880 
 sample_per_sec 60 ; sample_count 180880 
 sample_per_sec 60 ; sample_count 180880 
 sample_per_sec 60 ; sample_count 180880 
 sample_per_sec 60 ; sample_count 180880 
 sample_per_sec 60 ; sample_count 180880 
 sample_per_sec 59 ; sample_count 180880 
 sample_per_sec 59 ; sample_count 180880 
 sample_per_sec 59 ; sample_count 180880 
 sample_per_sec 59 ; sample_count 180880 
 sample_per_sec 59 ; sample_count 180880 
 sample_per_sec 59 ; sample_count 180880 
 sample_per_sec 59 ; sample_count 180880 
